"id","sensor","location","value1","value2","value3","reading_time"
"32","BME280","Home","27.39","78.11","1009.99","2023-01-31 01:26:12"
"33","BME280","Home","26.93","79.01","1009.61","2023-01-31 01:56:12"
"34","BME280","Home","27.04","78.39","1009.18","2023-01-31 02:26:13"
"35","BME280","Home","27.08","78.75","1008.96","2023-01-31 02:56:13"
"36","BME280","Home","26.94","79.22","1008.78","2023-01-31 03:26:14"
"37","BME280","Home","27.01","79.11","1008.73","2023-01-31 03:56:15"
"38","BME280","Home","26.62","80.74","1008.76","2023-01-31 04:26:15"
"39","BME280","Home","26.70","80.65","1008.97","2023-01-31 04:56:15"
"40","BME280","Home","26.36","82.37","1008.98","2023-01-31 05:26:16"
"41","BME280","Home","26.39","82.66","1009.40","2023-01-31 05:56:16"
"42","BME280","Home","26.20","83.67","1009.71","2023-01-31 06:26:17"
"43","BME280","Home","26.42","83.01","1010.35","2023-01-31 06:56:17"
"44","BME280","Home","26.87","81.12","1010.84","2023-01-31 07:26:18"
"45","BME280","Home","27.49","78.45","1011.51","2023-01-31 07:56:19"
"46","BME280","Home","28.68","74.11","1011.79","2023-01-31 08:26:19"
"47","BME280","Home","29.08","72.76","1012.14","2023-01-31 08:56:20"
"48","BME280","Home","29.85","70.81","1012.28","2023-01-31 09:26:20"
"49","BME280","Home","30.50","67.56","1012.35","2023-01-31 09:56:21"
"50","BME280","Home","30.61","66.33","1012.08","2023-01-31 10:26:21"
"51","BME280","Home","30.52","65.44","1011.62","2023-01-31 10:56:21"
"52","BME280","Home","31.70","59.82","1011.21","2023-01-31 11:26:21"
"53","BME280","Home","31.89","54.27","1011.03","2023-01-31 11:56:22"
"54","BME280","Home","32.37","53.34","1010.45","2023-01-31 12:26:23"
"55","BME280","Home","32.45","54.29","1009.81","2023-01-31 12:56:24"
"56","BME280","Home","31.97","56.25","1009.16","2023-01-31 13:26:24"
"57","BME280","Home","31.83","57.72","1008.31","2023-01-31 13:56:25"
"58","BME280","Home","32.39","51.71","1008.25","2023-01-31 14:26:25"
"59","BME280","Home","31.06","57.51","1008.15","2023-01-31 14:56:26"
"60","BME280","Home","30.55","59.99","1007.97","2023-01-31 15:26:27"
"61","BME280","Home","31.19","57.80","1007.69","2023-01-31 15:56:27"
"62","BME280","Home","30.83","58.78","1007.69","2023-01-31 16:26:28"
"63","BME280","Home","29.70","61.92","1008.27","2023-01-31 16:56:28"
"64","BME280","Home","28.97","65.59","1008.32","2023-01-31 17:26:29"
"65","BME280","Home","28.69","66.44","1008.68","2023-01-31 17:56:29"
"66","BME280","Home","28.60","70.10","1008.84","2023-01-31 18:26:30"
"67","BME280","Home","28.42","73.26","1009.20","2023-01-31 18:56:31"
"68","BME280","Home","28.26","73.87","1009.45","2023-01-31 19:26:31"
"69","BME280","Home","28.08","73.93","1009.73","2023-01-31 19:56:31"
"70","BME280","Home","27.89","75.27","1010.06","2023-01-31 20:26:32"
"71","BME280","Home","27.64","77.08","1010.02","2023-01-31 20:56:32"
"72","BME280","Home","27.59","78.42","1010.49","2023-01-31 21:26:33"
"73","BME280","Home","27.71","78.41","1010.50","2023-01-31 21:56:33"
"74","BME280","Home","27.54","79.30","1010.31","2023-01-31 22:26:34"
"75","BME280","Home","27.57","79.61","1010.17","2023-01-31 22:56:35"
"76","BME280","Home","27.29","80.15","1009.94","2023-01-31 23:26:35"
"77","BME280","Home","27.65","78.17","1009.79","2023-01-31 23:56:36"
"78","BME280","Home","27.23","80.13","1009.48","2023-02-01 00:26:36"
"79","BME280","Home","27.16","80.13","1009.26","2023-02-01 00:56:37"
"80","BME280","Home","26.82","80.45","1008.77","2023-02-01 01:26:37"
"81","BME280","Home","26.67","81.28","1008.51","2023-02-01 01:56:38"
"82","BME280","Home","26.50","81.43","1008.40","2023-02-01 02:26:39"
"83","BME280","Home","26.45","81.47","1008.04","2023-02-01 02:56:39"
"84","BME280","Home","26.53","81.64","1008.04","2023-02-01 03:26:40"
"85","BME280","Home","26.48","82.45","1008.11","2023-02-01 03:56:40"
"86","BME280","Home","26.34","83.42","1008.18","2023-02-01 04:26:41"
"87","BME280","Home","26.17","84.20","1008.26","2023-02-01 04:56:42"
"88","BME280","Home","25.86","85.05","1008.54","2023-02-01 05:26:42"
"89","BME280","Home","25.87","84.51","1008.63","2023-02-01 05:56:43"
"90","BME280","Home","25.91","84.22","1008.95","2023-02-01 06:26:44"
"91","BME280","Home","25.94","83.24","1009.49","2023-02-01 06:56:45"
"92","BME280","Home","26.48","81.24","1009.96","2023-02-01 07:26:45"
"93","BME280","Home","27.31","77.46","1010.41","2023-02-01 07:56:45"
"94","BME280","Home","27.72","76.39","1010.96","2023-02-01 08:26:46"
"95","BME280","Home","28.04","75.80","1011.48","2023-02-01 08:56:46"
"96","BME280","Home","28.58","74.08","1011.66","2023-02-01 09:26:47"
"97","BME280","Home","28.90","72.43","1011.47","2023-02-01 09:56:48"
"98","BME280","Home","27.56","86.02","1011.83","2023-02-03 20:32:28"
"99","BME280","Home","27.71","85.81","1012.41","2023-02-03 21:02:34"
"100","BME280","Home","27.65","87.05","1012.47","2023-02-03 21:32:34"
"101","BME280","Home","27.40","85.68","1012.60","2023-02-03 22:02:34"
"102","BME280","Home","27.26","85.25","1012.43","2023-02-03 22:32:35"
"103","BME280","Home","27.31","86.09","1012.25","2023-02-03 23:02:35"
"104","BME280","Home","27.35","86.66","1011.96","2023-02-03 23:32:36"
"105","BME280","Home","27.22","86.34","1011.67","2023-02-04 00:02:36"
"106","BME280","Home","26.93","88.62","1011.23","2023-02-04 00:32:37"
"107","BME280","Home","26.80","88.76","1010.66","2023-02-04 01:02:38"
"108","BME280","Home","26.67","88.93","1010.37","2023-02-04 01:32:38"
"109","BME280","Home","26.56","88.54","1010.10","2023-02-04 02:02:39"
"110","BME280","Home","26.54","89.13","1009.84","2023-02-04 02:32:40"
"111","BME280","Home","26.29","90.39","1009.54","2023-02-04 03:02:40"
"112","BME280","Home","26.23","91.52","1009.40","2023-02-04 03:32:41"
"113","BME280","Home","26.35","91.52","1009.43","2023-02-04 04:02:41"
"114","BME280","Home","26.28","91.60","1009.54","2023-02-04 04:32:42"
"115","BME280","Home","26.32","91.53","1009.69","2023-02-04 05:02:43"
"116","BME280","Home","26.19","91.95","1009.97","2023-02-04 05:32:43"
"117","BME280","Home","25.91","93.99","1010.26","2023-02-04 06:02:43"
"118","BME280","Home","25.79","94.79","1010.59","2023-02-04 06:32:44"
"119","BME280","Home","26.27","93.46","1010.89","2023-02-04 07:02:45"
"120","BME280","Home","26.74","92.62","1011.29","2023-02-04 07:32:45"
"121","BME280","Home","27.79","89.17","1011.79","2023-02-04 08:02:46"
"122","BME280","Home","28.10","87.42","1011.99","2023-02-04 08:32:46"
"123","BME280","Home","28.02","85.88","1012.42","2023-02-04 09:02:47"
"124","BME280","Home","29.51","79.21","1012.53","2023-02-04 09:32:47"
"125","BME280","Home","30.53","72.53","1012.48","2023-02-04 10:02:48"
"126","BME280","Home","30.86","70.88","1012.29","2023-02-04 10:32:48"
"127","BME280","Home","31.78","65.97","1012.18","2023-02-04 11:02:48"
"128","BME280","Home","31.31","65.71","1011.77","2023-02-04 11:32:49"
"129","BME280","Home","31.40","63.43","1011.38","2023-02-04 12:02:50"
"130","BME280","Home","31.28","58.19","1010.93","2023-02-04 12:32:50"
"131","BME280","Home","31.00","59.94","1010.40","2023-02-04 13:02:51"
"132","BME280","Home","31.24","59.24","1009.86","2023-02-04 13:32:53"
"133","BME280","Home","31.35","58.49","1009.21","2023-02-04 14:02:53"
"134","BME280","Home","31.16","60.75","1008.72","2023-02-04 14:32:53"
"135","BME280","Home","30.98","63.78","1008.61","2023-02-04 15:02:54"
"136","BME280","Home","31.22","63.54","1008.54","2023-02-04 15:32:55"
"137","BME280","Home","30.22","65.62","1008.50","2023-02-04 16:02:55"
"138","BME280","Home","30.04","66.70","1008.63","2023-02-04 16:32:56"
"139","BME280","Home","29.02","72.59","1008.79","2023-02-04 17:02:57"
"140","BME280","Home","28.80","75.40","1008.88","2023-02-04 17:32:57"
"141","BME280","Home","28.22","78.89","1008.98","2023-02-04 18:02:57"
"142","BME280","Home","27.83","80.88","1009.25","2023-02-04 18:32:58"
"143","BME280","Home","27.73","79.00","1009.67","2023-02-04 19:02:58"
"144","BME280","Home","27.61","78.52","1010.38","2023-02-04 19:32:58"
"145","BME280","Home","27.26","80.73","1010.83","2023-02-04 20:02:59"
"146","BME280","Home","27.09","81.81","1011.18","2023-02-04 20:33:00"
"147","BME280","Home","27.03","81.89","1011.54","2023-02-04 21:03:00"
"148","BME280","Home","26.92","81.61","1011.77","2023-02-04 21:33:00"
"149","BME280","Home","26.90","81.86","1011.81","2023-02-04 22:03:01"
"150","BME280","Home","26.78","82.66","1011.77","2023-02-04 22:33:01"
"151","BME280","Home","26.63","82.83","1011.68","2023-02-04 23:03:01"
"152","BME280","Home","26.54","82.79","1011.37","2023-02-04 23:33:02"
"153","BME280","Home","26.57","83.90","1011.00","2023-02-05 00:03:02"
"154","BME280","Home","26.22","84.76","1010.62","2023-02-05 00:33:02"
"155","BME280","Home","26.18","85.35","1010.21","2023-02-05 01:03:03"
"156","BME280","Home","25.92","86.15","1009.90","2023-02-05 01:33:04"
"157","BME280","Home","25.81","87.04","1009.46","2023-02-05 02:03:04"
"158","BME280","Home","25.87","87.19","1009.02","2023-02-05 02:33:04"
"159","BME280","Home","25.48","88.57","1008.67","2023-02-05 03:03:05"
"160","BME280","Home","25.66","86.85","1008.49","2023-02-05 03:33:06"
"161","BME280","Home","25.50","87.52","1008.50","2023-02-05 04:03:06"
"162","BME280","Home","25.26","88.85","1008.57","2023-02-05 04:33:07"
"163","BME280","Home","25.03","92.86","1008.79","2023-02-05 05:03:07"
"164","BME280","Home","25.06","93.43","1008.99","2023-02-05 05:33:08"
"165","BME280","Home","24.75","94.35","1009.29","2023-02-05 06:03:08"
"166","BME280","Home","25.11","92.52","1009.74","2023-02-05 06:33:09"
"167","BME280","Home","25.15","91.84","1010.14","2023-02-05 07:03:10"
"168","BME280","Home","25.87","90.53","1010.63","2023-02-05 07:33:10"
"169","BME280","Home","27.44","84.56","1011.19","2023-02-05 08:03:11"
"170","BME280","Home","27.56","83.33","1011.65","2023-02-05 08:33:11"
"171","BME280","Home","28.42","79.77","1011.91","2023-02-05 09:03:12"
"172","BME280","Home","28.70","77.26","1012.19","2023-02-05 09:33:12"
"173","BME280","Home","29.77","69.39","1012.18","2023-02-05 10:03:13"
"174","BME280","Home","30.09","63.63","1011.93","2023-02-05 10:33:14"
"175","BME280","Home","29.71","59.64","1011.80","2023-02-05 11:03:14"
"176","BME280","Home","30.01","59.85","1011.40","2023-02-05 11:33:15"
"177","BME280","Home","30.32","59.22","1011.11","2023-02-05 12:03:15"
"178","BME280","Home","30.36","60.96","1010.70","2023-02-05 12:33:16"
"179","BME280","Home","30.41","61.97","1010.13","2023-02-05 13:03:17"
"180","BME280","Home","30.66","60.24","1009.70","2023-02-05 13:33:17"
"181","BME280","Home","30.84","58.78","1009.26","2023-02-05 14:03:18"
"182","BME280","Home","30.49","59.66","1008.91","2023-02-05 14:33:19"
"183","BME280","Home","30.32","62.24","1008.90","2023-02-05 15:03:20"
"184","BME280","Home","29.75","65.12","1008.76","2023-02-05 15:33:20"
"185","BME280","Home","29.62","66.02","1008.79","2023-02-05 16:03:20"
"186","BME280","Home","29.61","66.00","1009.01","2023-02-05 16:33:21"
"187","BME280","Home","28.80","68.66","1009.15","2023-02-05 17:03:21"
"188","BME280","Home","28.13","72.58","1009.37","2023-02-05 17:33:22"
"189","BME280","Home","27.72","76.08","1009.65","2023-02-05 18:03:22"
"190","BME280","Home","27.31","77.93","1009.84","2023-02-05 18:33:23"
"191","BME280","Home","27.12","78.57","1010.14","2023-02-05 19:03:24"
"192","BME280","Home","27.01","79.51","1010.69","2023-02-05 19:33:24"
"193","BME280","Home","26.88","80.13","1011.05","2023-02-05 20:03:24"
"194","BME280","Home","26.86","80.48","1011.31","2023-02-05 20:33:25"
"195","BME280","Home","26.80","81.13","1011.70","2023-02-05 21:03:26"
"196","BME280","Home","26.59","82.42","1011.72","2023-02-05 21:33:26"
"197","BME280","Home","26.51","82.33","1011.84","2023-02-05 22:03:27"
"198","BME280","Home","26.60","82.49","1011.78","2023-02-05 22:33:27"
"199","BME280","Home","26.49","83.08","1011.58","2023-02-05 23:03:27"
"200","BME280","Home","26.61","83.07","1011.46","2023-02-05 23:33:28"
"201","BME280","Home","26.27","85.06","1011.38","2023-02-06 00:03:28"
"202","BME280","Home","26.22","85.76","1011.17","2023-02-06 00:33:29"
"203","BME280","Home","26.18","86.27","1010.86","2023-02-06 01:03:29"
"204","BME280","Home","26.16","86.49","1010.53","2023-02-06 01:33:30"
"205","BME280","Home","26.04","87.39","1010.35","2023-02-06 02:03:31"
"206","BME280","Home","25.71","89.52","1010.05","2023-02-06 02:33:31"
"207","BME280","Home","25.37","91.81","1009.89","2023-02-06 03:03:32"
"208","BME280","Home","25.37","92.18","1009.85","2023-02-06 03:33:32"
"209","BME280","Home","25.16","92.52","1009.90","2023-02-06 04:03:32"
"210","BME280","Home","25.13","92.60","1010.00","2023-02-06 04:33:33"
"211","BME280","Home","24.78","94.15","1010.14","2023-02-06 05:03:34"
"212","BME280","Home","24.69","94.57","1010.41","2023-02-06 05:33:34"
"213","BME280","Home","24.65","94.14","1010.64","2023-02-06 06:03:35"
"214","BME280","Home","24.64","93.99","1010.96","2023-02-06 06:33:36"
"215","BME280","Home","24.68","93.80","1011.32","2023-02-06 07:03:36"
"216","BME280","Home","25.91","89.34","1011.64","2023-02-06 07:33:36"
"217","BME280","Home","27.07","85.28","1012.18","2023-02-06 08:03:37"
"218","BME280","Home","27.65","83.77","1012.67","2023-02-06 08:33:38"
"219","BME280","Home","27.95","82.30","1013.04","2023-02-06 09:03:38"
"220","BME280","Home","28.64","76.87","1013.27","2023-02-06 09:33:38"
"221","BME280","Home","29.30","73.34","1013.20","2023-02-06 10:03:39"
"222","BME280","Home","30.18","63.75","1013.06","2023-02-06 10:33:39"
"223","BME280","Home","30.49","66.39","1012.80","2023-02-06 11:03:40"
"224","BME280","Home","30.84","61.94","1012.27","2023-02-06 11:33:41"
"225","BME280","Home","30.88","63.57","1011.83","2023-02-06 12:03:41"
"226","BME280","Home","31.05","61.34","1011.44","2023-02-06 12:33:42"
"227","BME280","Home","31.12","60.79","1010.78","2023-02-06 13:03:43"
"228","BME280","Home","30.65","60.80","1010.03","2023-02-06 13:33:43"
"229","BME280","Home","30.78","63.04","1009.34","2023-02-06 14:03:44"
"230","BME280","Home","30.69","63.26","1009.05","2023-02-06 14:33:44"
"231","BME280","Home","30.55","65.68","1008.73","2023-02-06 15:03:45"
"232","BME280","Home","30.40","67.76","1008.43","2023-02-06 15:33:45"
"233","BME280","Home","30.07","67.88","1008.43","2023-02-06 16:03:46"
"234","BME280","Home","30.38","64.71","1008.47","2023-02-06 16:33:47"
"235","BME280","Home","29.28","68.79","1008.57","2023-02-06 17:03:47"
"236","BME280","Home","28.24","69.86","1008.81","2023-02-06 17:33:48"
"237","BME280","Home","27.59","70.33","1009.13","2023-02-06 18:03:49"
"238","BME280","Home","27.22","78.11","1009.41","2023-02-06 18:33:49"
"239","BME280","Home","27.12","81.64","1009.68","2023-02-06 19:03:50"
"240","BME280","Home","27.06","80.06","1009.91","2023-02-06 19:33:51"
"241","BME280","Home","26.98","84.38","1010.22","2023-02-06 20:03:52"
"242","BME280","Home","26.62","86.71","1010.44","2023-02-06 20:33:52"
"243","BME280","Home","26.58","87.11","1010.80","2023-02-06 21:03:52"
"244","BME280","Home","26.68","87.29","1010.87","2023-02-06 21:33:53"
"245","BME280","Home","26.60","87.40","1010.87","2023-02-06 22:03:53"
"246","BME280","Home","26.55","87.41","1010.96","2023-02-06 22:33:54"
"247","BME280","Home","26.51","87.58","1010.76","2023-02-06 23:03:54"
"248","BME280","Home","26.22","89.95","1010.61","2023-02-06 23:33:55"
"249","BME280","Home","26.15","90.26","1010.55","2023-02-07 00:03:55"
"250","BME280","Home","26.17","90.63","1010.38","2023-02-07 00:33:56"
"251","BME280","Home","25.97","90.65","1010.24","2023-02-07 01:03:56"
"252","BME280","Home","25.92","90.72","1009.99","2023-02-07 01:33:57"
"253","BME280","Home","25.78","91.42","1009.68","2023-02-07 02:03:57"
"254","BME280","Home","25.62","91.96","1009.54","2023-02-07 02:33:59"
"255","BME280","Home","25.73","91.81","1009.37","2023-02-07 03:04:00"
"256","BME280","Home","25.53","92.36","1009.52","2023-02-07 03:34:00"
"257","BME280","Home","25.70","91.65","1009.55","2023-02-07 04:04:01"
"258","BME280","Home","25.17","95.16","1009.78","2023-02-07 04:34:02"
"259","BME280","Home","24.94","96.89","1009.95","2023-02-07 05:04:03"
"260","BME280","Home","24.84","97.54","1010.37","2023-02-07 05:34:04"
"261","BME280","Home","24.89","96.79","1010.84","2023-02-07 06:04:05"
"262","BME280","Home","31.50","59.95","1011.09","2023-02-09 13:15:32"
"263","BME280","Home","31.14","58.70","1011.00","2023-02-09 13:16:19"
"264","BME280","Home","31.31","58.04","1010.60","2023-02-09 13:46:20"
"265","BME280","Home","30.95","56.29","1010.14","2023-02-09 14:16:20"
"266","BME280","Home","31.24","54.96","1009.72","2023-02-09 14:46:20"
"267","BME280","Home","30.73","52.14","1009.59","2023-02-09 15:16:21"
"268","BME280","Home","31.00","53.34","1009.37","2023-02-09 15:46:21"
"269","BME280","Home","30.72","56.83","1009.47","2023-02-09 16:16:21"
"270","BME280","Home","29.66","60.67","1009.69","2023-02-09 16:46:21"
"271","BME280","Home","29.07","66.35","1010.00","2023-02-09 17:16:21"
"272","BME280","Home","28.00","70.62","1010.26","2023-02-09 17:46:21"
"273","BME280","Home","27.49","74.79","1010.74","2023-02-09 18:16:21"
"274","BME280","Home","27.26","77.67","1011.19","2023-02-09 18:46:22"
"275","BME280","Home","27.01","79.37","1011.47","2023-02-09 19:16:22"
"276","BME280","Home","26.73","80.34","1011.92","2023-02-09 19:46:22"
"277","BME280","Home","26.68","79.74","1012.46","2023-02-09 20:16:22"
"278","BME280","Home","26.69","79.76","1012.84","2023-02-09 20:46:22"
"279","BME280","Home","26.66","80.87","1012.99","2023-02-09 21:16:22"
"280","BME280","Home","26.52","81.83","1013.22","2023-02-09 21:46:22"
"281","BME280","Home","26.51","83.62","1013.29","2023-02-09 22:16:22"
"282","BME280","Home","26.31","84.34","1013.16","2023-02-09 22:46:22"
"283","BME280","Home","26.23","85.77","1013.04","2023-02-09 23:16:23"
"284","BME280","Home","26.03","87.21","1012.81","2023-02-09 23:46:23"
"285","BME280","Home","26.01","87.88","1012.51","2023-02-10 00:16:23"
"286","BME280","Home","25.70","89.23","1012.32","2023-02-10 00:46:23"
"287","BME280","Home","25.79","88.83","1012.02","2023-02-10 01:16:23"
"288","BME280","Home","25.29","91.25","1011.77","2023-02-10 01:46:24"
"289","BME280","Home","25.21","91.98","1011.53","2023-02-10 02:16:24"
"290","BME280","Home","25.03","93.10","1011.14","2023-02-10 02:46:24"
"291","BME280","Home","25.17","92.52","1011.05","2023-02-10 03:16:24"
"292","BME280","Home","24.68","94.03","1011.01","2023-02-10 03:46:24"
"293","BME280","Home","24.46","95.31","1011.08","2023-02-10 04:16:24"
"294","BME280","Home","24.28","95.39","1011.28","2023-02-10 04:46:24"
"295","BME280","Home","24.13","96.08","1011.53","2023-02-10 05:16:24"
"296","BME280","Home","24.01","96.58","1011.87","2023-02-10 05:46:24"
"297","BME280","Home","23.80","97.00","1012.12","2023-02-10 06:16:24"
"298","BME280","Home","24.10","95.78","1012.43","2023-02-10 06:46:24"
"299","BME280","Home","24.40","94.83","1012.83","2023-02-10 07:16:25"
"300","BME280","Home","25.11","90.47","1013.20","2023-02-10 07:46:25"
"301","BME280","Home","26.47","85.33","1013.68","2023-02-10 08:16:25"
"302","BME280","Home","27.51","80.34","1014.05","2023-02-10 08:46:25"
"303","BME280","Home","28.49","75.51","1014.41","2023-02-10 09:16:25"
"304","BME280","Home","28.74","67.72","1014.63","2023-02-10 09:46:25"
"305","BME280","Home","30.00","63.14","1014.52","2023-02-10 10:16:25"
"306","BME280","Home","31.00","53.99","1014.15","2023-02-10 10:46:25"
"307","BME280","Home","32.08","46.74","1013.78","2023-02-10 11:16:25"
"308","BME280","Home","32.14","46.80","1013.07","2023-02-10 11:46:25"
"309","BME280","Home","32.34","45.94","1012.55","2023-02-10 12:16:25"
"310","BME280","Home","32.46","37.65","1011.91","2023-02-10 12:46:25"
"311","BME280","Home","32.41","46.08","1011.44","2023-02-10 13:16:25"
"312","BME280","Home","32.08","43.16","1010.86","2023-02-10 13:46:25"
"313","BME280","Home","32.12","46.05","1010.36","2023-02-10 14:16:25"
"314","BME280","Home","32.03","51.78","1010.05","2023-02-10 14:46:25"
"315","BME280","Home","31.55","52.37","1009.81","2023-02-10 15:16:25"
"316","BME280","Home","31.34","55.62","1009.74","2023-02-10 15:46:25"
"317","BME280","Home","30.56","55.48","1009.82","2023-02-10 16:16:25"
"318","BME280","Home","29.88","57.97","1009.90","2023-02-10 16:46:25"
"319","BME280","Home","29.16","60.27","1010.26","2023-02-10 17:16:25"
"320","BME280","Home","28.52","61.73","1010.37","2023-02-10 17:46:25"
"321","BME280","Home","27.78","57.82","1010.63","2023-02-10 18:16:26"
"322","BME280","Home","27.48","62.14","1011.00","2023-02-10 18:46:26"
"323","BME280","Home","27.42","63.06","1011.45","2023-02-10 19:16:26"
"324","BME280","Home","27.20","66.68","1011.95","2023-02-10 19:46:26"
"325","BME280","Home","27.03","69.59","1012.37","2023-02-10 20:16:26"
"326","BME280","Home","26.95","73.22","1012.65","2023-02-10 20:46:26"
"327","BME280","Home","26.83","74.81","1012.90","2023-02-10 21:16:27"
"328","BME280","Home","26.84","76.15","1013.16","2023-02-10 21:46:27"
"329","BME280","Home","26.93","76.39","1013.24","2023-02-10 22:16:27"
"330","BME280","Home","26.52","79.11","1013.26","2023-02-10 22:46:27"
"331","BME280","Home","26.37","80.29","1013.19","2023-02-10 23:16:27"
"332","BME280","Home","26.20","87.75","1012.96","2023-02-10 23:46:27"
"333","BME280","Home","26.13","86.60","1012.58","2023-02-11 00:16:27"
"334","BME280","Home","26.08","85.62","1012.13","2023-02-11 00:46:27"
"335","BME280","Home","25.77","86.79","1011.97","2023-02-11 01:16:27"
"336","BME280","Home","25.72","87.24","1011.73","2023-02-11 01:46:28"
"337","BME280","Home","25.71","88.16","1011.45","2023-02-11 02:16:28"
"338","BME280","Home","25.40","89.49","1011.13","2023-02-11 02:46:28"
"339","BME280","Home","25.29","90.29","1010.94","2023-02-11 03:16:28"
"340","BME280","Home","25.08","90.42","1010.84","2023-02-11 03:46:28"
"341","BME280","Home","24.51","91.13","1010.92","2023-02-11 04:16:28"
"342","BME280","Home","24.55","89.72","1011.01","2023-02-11 04:46:28"
"343","BME280","Home","24.23","89.59","1011.19","2023-02-11 05:16:28"
"344","BME280","Home","24.34","89.63","1011.61","2023-02-11 05:46:28"
"345","BME280","Home","23.95","89.75","1011.97","2023-02-11 06:16:28"
"346","BME280","Home","23.78","88.60","1012.47","2023-02-11 06:46:28"
"347","BME280","Home","24.51","86.78","1012.92","2023-02-11 07:16:28"
"348","BME280","Home","25.52","83.19","1013.18","2023-02-11 07:46:28"
"349","BME280","Home","26.62","78.45","1013.67","2023-02-11 08:16:28"
"350","BME280","Home","27.75","75.85","1014.09","2023-02-11 08:46:28"
"351","BME280","Home","28.45","74.09","1014.35","2023-02-11 09:16:28"
"352","BME280","Home","29.09","72.78","1014.56","2023-02-11 09:46:28"
"353","BME280","Home","30.50","68.83","1014.57","2023-02-11 10:16:28"
"354","BME280","Home","31.66","58.82","1014.20","2023-02-11 10:46:29"
"355","BME280","Home","31.23","61.95","1013.79","2023-02-11 11:16:28"
"356","BME280","Home","31.93","58.03","1013.42","2023-02-11 11:46:29"
"357","BME280","Home","33.88","51.18","1012.82","2023-02-11 12:16:29"
"358","BME280","Home","32.46","54.66","1012.08","2023-02-11 12:46:28"
"359","BME280","Home","32.62","50.81","1011.56","2023-02-11 13:16:28"
"360","BME280","Home","33.10","48.38","1011.13","2023-02-11 13:46:29"
"361","BME280","Home","32.19","48.54","1010.68","2023-02-11 14:16:29"
"362","BME280","Home","32.32","46.22","1010.49","2023-02-11 14:46:29"
"363","BME280","Home","32.31","48.35","1010.34","2023-02-11 15:16:29"
"364","BME280","Home","30.59","54.17","1010.13","2023-02-11 15:46:30"
"365","BME280","Home","30.19","57.36","1010.02","2023-02-11 16:16:30"
"366","BME280","Home","30.11","55.16","1010.19","2023-02-11 16:46:30"
"367","BME280","Home","29.19","62.31","1010.36","2023-02-11 17:16:30"
"368","BME280","Home","28.56","63.95","1010.63","2023-02-11 17:46:30"
"369","BME280","Home","27.88","65.34","1010.93","2023-02-11 18:16:30"
"370","BME280","Home","27.33","69.03","1011.32","2023-02-11 18:46:30"
"371","BME280","Home","27.12","70.03","1011.93","2023-02-11 19:16:30"
"372","BME280","Home","27.00","74.27","1012.32","2023-02-11 19:46:30"
"373","BME280","Home","27.03","77.75","1012.67","2023-02-11 20:16:30"
"374","BME280","Home","26.62","80.61","1012.99","2023-02-11 20:46:30"
"375","BME280","Home","26.63","82.62","1013.16","2023-02-11 21:16:30"
"376","BME280","Home","26.42","84.17","1013.38","2023-02-11 21:46:30"
"377","BME280","Home","26.25","85.87","1013.38","2023-02-11 22:16:30"
